"","","","","","","","","","","","","","","","","","","","","","",""
"","Jaar","Kwartaal","JaarMaand","Maand","JaarWeek","Week","Date","Uur","Uur-15min","Werkstroom","Contactthema","V_Aanbod","Calls Short Abandoned","V_Abandoned","Calls Answered","Calls Answered Threshold","Wait Time to Answer","Time to Abandon","Geweigerde aantallen","Aantal Herr Naar CT kwart","V_%Aangenomen","V_%SL"
"","2016","1","2016-03","3","201610","10","42438","08","0800","AUTO","BT_A_AUTO_1","60","0","0","60","55","665","0","0","5","1","0.91666666666667"
"","2016","1","2016-03","3","201610","10","42438","08","0800","AUTO","BT_A_BPM_1","5","0","0","5","3","182","0","0","1","1","0.6"
"","2016","1","2016-03","3","201610","10","42438","08","0800","AUTO","BT_A_VRACHT_1","1","0","0","1","1","9","0","","2","1","1"
"","2016","1","2016-03","3","201610","10","42438","08","0800","BO_TOESLAGEN","TT_BO_TOESL_2","6","0","0","6","3","2085","0","","9","1","0.5"
"","2016","1","2016-03","3","201610","10","42438","08","0800","BO_TOESLAGEN","TT_T_HUZO_1","1","0","0","1","1","6","0","0","","1","1"
"","2016","1","2016-03","3","201610","10","42438","08","0800","BUITENLAND","BT_B_BUIT_1","32","0","0","32","28","428","0","0","3","1","0.875"
"","2016","1","2016-03","3","201610","10","42438","08","0800","BUITENLAND","BT_B_IB_2","","","","","","","","","1","",""
"","2016","1","2016-03","3","201610","10","42438","08","0800","DOUANE","BT_D_OVERIG_1","1","0","0","1","1","11","0","0","","1","1"
"","2016","1","2016-03","3","201610","10","42438","08","0800","GENERIEK","BT_G_ENGELS_1","1","0","0","1","1","21","0","","1","1","1"
"","2016","1","2016-03","3","201610","10","42438","08","0800","GENERIEK","BT_G_ERFETM_1","13","0","1","12","11","136","0","0","9","0.92307692307692","0.84615384615385"
"","2016","1","2016-03","3","201610","10","42438","08","0800","GENERIEK","BT_G_GELDZAKEN_1","11","0","1","10","7","438","80","0","","0.90909090909091","0.63636363636364"
"","2016","1","2016-03","3","201610","10","42438","08","0800","GENERIEK","BT_G_INVOR_1","4","0","0","4","1","283","0","","6","1","0.25"
"","2016","1","2016-03","3","201610","10","42438","08","0800","GENERIEK","BT_G_SCHEIDEN_1","2","0","0","2","2","17","0","0","1","1","1"
"","2016","1","2016-03","3","201610","10","42438","08","0800","GENERIEK (1 BRN)","BT_G_CAMP_1","2","0","0","2","1","56","0","0","","1","0.5"
